#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	1.54409662114	3060646	4725933
k__Bacteria|p__Firmicutes	44.08272	0.680679859238	2645593	1800802
k__Bacteria|p__Proteobacteria	33.78897	0.521734378158	3135748	1636028
k__Bacteria|p__Actinobacteria	11.94873	0.184499897654	3230214	595974
k__Bacteria|p__Deinococcus_Thermus	5.66303	0.0874426560003	2916300	255009
k__Bacteria|p__Bacteroidetes	4.51655	0.0697398300884	4234739	295330
k__Bacteria|p__Firmicutes|c__Bacilli	41.07402	0.634222629129	2708875	1718030
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	12.43196	0.19196145556	2003141	384526
k__Bacteria|p__Actinobacteria|c__Actinobacteria	11.94873	0.184499897654	3230214	595974
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11.00881	0.169986624299	3686133	626593
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6.01393	0.0928609509039	3060202	284173
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	5.66303	0.0874426560003	2916300	255009
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4.51655	0.0697398300884	3794378	264619
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4.33427	0.066925347395	3693177	247167
k__Bacteria|p__Firmicutes|c__Clostridia	3.0087	0.0464572301095	2874996	133564
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	25.58191	0.395009378216	2010119	794016
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	15.49212	0.239213250913	3407631	815150
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	12.43196	0.19196145556	2228417	427770
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	11.94873	0.184499897654	4860922	896840
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	8.04244	0.12418307651	4126474	512438
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	6.01393	0.0928609509039	3161861	293613
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	5.66303	0.0874426560003	3351957	293104
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	4.51655	0.0697398300884	3794378	264619
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	4.33427	0.066925347395	4758592	318470
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.0087	0.0464572301095	3127383	145290
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	2.96637	0.0458035477893	4079009	186833
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	13.33695	0.205935377021	2193606	451741
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	12.43196	0.19196145556	2208224	423894
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	10.5958	0.163609341236	2461214	402678
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	7.44223	0.114915297414	2166719	248989
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	7.2478	0.111913025067	2198008	245986
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	6.01393	0.0928609509039	3161861	293613
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	5.66303	0.0874426560003	3443517	301110
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	4.99333	0.0771018023505	5434751	419029
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	4.80272	0.0741587037806	2064046	153067
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	4.70093	0.0725868725869	3386340	245804
