#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	99.04831
k__Viruses	0.95169
k__Bacteria|p__Verrucomicrobia	61.57118
k__Bacteria|p__Firmicutes	18.91943
k__Bacteria|p__Bacteroidetes	12.71502
k__Bacteria|p__Actinobacteria	5.84268
k__Viruses|p__Viruses_noname	0.95169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	61.57118
k__Bacteria|p__Firmicutes|c__Bacilli	17.77765
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.71502
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.84268
k__Bacteria|p__Firmicutes|c__Clostridia	1.14178
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.95169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	61.57118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	17.77765
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.71502
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	5.84268
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.14178
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.95169
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	61.57118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	17.77765
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	12.71502
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	5.84268
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	0.95169
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.90976
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.1345
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.09751
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	61.57118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	17.77765
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	12.71502
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	5.84268
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus	0.95169
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.60986
