#SampleID	Metaphlan2_Analysis
J00138:104:HJJCKBBXX:6:1218:11485:18827	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2109:4158:11091	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:2109:28219:36007	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2113:8288:13042	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2117:9283:25597	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2210:28493:32367	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:1228:4107:26582	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Mannheimia_phage_vB_MhM_1152AP|t__PRJNA212715
J00138:104:HJJCKBBXX:5:1111:18873:1455	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1121:24840:8101	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1126:2098:23663	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1127:21968:28270	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1213:19583:13377	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1217:18832:31347	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2107:11089:25703	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2112:30046:21272	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
