#SampleID	Metaphlan2_Analysis
J00138:104:HJJCKBBXX:5:1107:22029:43322	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:1216:8075:34160	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:1115:28940:1595	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1124:30340:10669	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2116:17259:41634	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2216:10957:30714	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2216:15422:46434	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2217:15138:29413	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:6:1102:16325:1683	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:1109:31162:1789	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1201:24058:24894	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1204:20963:19460	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2120:29406:35637	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2127:23429:12023	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2203:25236:2070	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2220:25530:41053	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2226:5538:21219	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2227:9912:46311	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2220:6025:48227	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1221:13362:13148	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:6:1225:7273:36534	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1104:27306:17755	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__GCF_000169475
J00138:104:HJJCKBBXX:5:1203:8816:1261	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1206:30391:6009	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:2218:6867:12937	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:2115:3782:10299	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1117:5518:3178	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2216:23754:9033	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1114:9668:19865	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1124:13707:35339	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1220:24941:32894	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__GCF_000171175
J00138:104:HJJCKBBXX:5:1206:6390:10352	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea
J00138:104:HJJCKBBXX:5:1204:14894:42319	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2118:30685:21008	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2104:15442:23892	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1105:18954:29870	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1112:8258:14291	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1203:29264:20164	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1210:17371:30292	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
