#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.0461107505546	3060646	141129
k__Bacteria|p__Bacteroidetes	80.48997	0.0371145274893	4234739	157170
k__Bacteria|p__Proteobacteria	9.83025	0.00453280389669	3135748	14214
k__Bacteria|p__Firmicutes	5.37219	0.00247715549802	2645593	6554
k__Bacteria|p__Actinobacteria	4.30759	0.00198626367052	3230214	6416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	80.48997	0.0371145274893	3794378	140827
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	9.83025	0.00453280389669	4319058	19577
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.30759	0.00198626367052	3230214	6416
k__Bacteria|p__Firmicutes|c__Clostridia	2.91589	0.00134453902096	2874996	3866
k__Bacteria|p__Firmicutes|c__Bacilli	1.92896	0.000889456227509	2708875	2409
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.52734	0.000243160249552	2612847	635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	80.48997	0.0371145274893	3794378	140827
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	9.83025	0.00453280389669	3562128	16146
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	4.30759	0.00198626367052	2484432	4935
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.91589	0.00134453902096	3127383	4205
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.92896	0.000889456227509	2010119	1788
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.52734	0.000243160249552	2612847	635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	70.22142	0.0323796253259	5296179	171488
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	9.83025	0.00453280389669	3257880	14767
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.06378	0.00325716134345	3390441	11043
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	4.30759	0.00198626367052	2484432	4935
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.20476	0.00147774081995	4013113	5930
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.5758	0.00118771942389	3352514	3982
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.5353	0.000707940571783	2064046	1461
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.52734	0.000243160249552	2612847	635
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.39365	0.000181515655725	2193606	398
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.21702	0.000100070049034	3752948	376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.12307	5.67495480304e-05	4017022	228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	70.22142	0.0323796253259	5296179	171488
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	7.85174	0.00362049758633	4504752	16309
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	7.06378	0.00325716134345	3390441	11043
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	4.30759	0.00198626367052	2862526	5686
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.49119	0.00114870509607	5554639	6381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2.2737	0.00104842033129	3773983	3957
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	1.97851	0.000912306310353	3811297	3477
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	1.5353	0.000707940571783	2208833	1564
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.71358	0.000329035723879	3443906	1133
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0.52734	0.000243160249552	3802274	925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.39365	0.000181515655725	2295506	417
